group,id,company,title,location,date_posted,discovered_at,source,status,fit_score,base_variant,flags,jd_quality,url,fit_rationale
A,3408,Arch,Software Engineer - Early Careers,NYC,2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown""]",ats,https://jobs.ashbyhq.com/arch.co/9fde8d03-9f47-44ac-bd14-53829722c06d/application?embed=true,
A,3407,Arch,Operations Engineer - Early Careers,NYC,2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown""]",ats,https://jobs.ashbyhq.com/arch.co/3600530a-7f41-4583-8d92-443f6978c847/application?embed=true,
A,3405,Lyte AI,Optical System Integration Engineer - System Optics,"Sunnyvale, CA",2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://ats.rippling.com/lyte/jobs/6136b8d2-90a9-449e-94b2-716f30cf8e3a,
A,3398,Anduril,Early Career Flight Software Engineer,"Costa Mesa, CA",2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://boards.greenhouse.io/andurilindustries/jobs/5228868007,
A,3385,PQ,AI-Augmented Software Engineer,"Malvern, PA",2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://jobs.smartrecruiters.com/PQ/744000147064769,
A,3362,Kikoff,Software Engineer New Grad,SF,2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://job-boards.greenhouse.io/kikoff/jobs/4393822009,
A,3355,Keysight Technologies,Software Engineer - Measurement Applications,"Colorado Springs, CO",2026-09-03,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://jobs.keysight.com/jobs/54139?icims=1,
A,3416,Horizon media,Associate Data Science - Marketing Science,NYC,2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://horizonmedia.wd1.myworkdayjobs.com/en-US/CareerOpportunities/job/New-York-New-York/Associate--Data-Science_R0017491,
A,3389,KLA Corporation,Systems Engineer,"Milpitas, CA",2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://kla.wd1.myworkdayjobs.com/search/job/Milpitas-CA/System-Engineer_2640152,
A,3386,Baker Hughes,Software Engineer,"Minden, NV",2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-NV-MINDEN-1631-BENTLY-PARKWAY-SOUTH/Software-Engineer_R168272,
A,3370,Deluxe,Data Driven Marketing Analyst - Performance Optimization,NYC,2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""opportunity_type_inferred""]",ats,https://deluxe.wd5.myworkdayjobs.com/en-US/USA_CAN/job/New-York-NY-USA/Data-Driven-Marketing-Analyst---Performance-Optimization_261111WD,
A,3357,Cigna Group,AI Innovation Development Program Associate - AIIDP,"Raleigh, NC",2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://cigna.wd5.myworkdayjobs.com/cignacareers/job/Raleigh-NC/Artificial-Intelligence-Innovation-Development-Program--AIIDP----Start-Date--July-12--2027_26010473,
A,3349,Unlimited,Modeling and Analysis Engineer,SF,2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://jobs.ashbyhq.com/unlimitedindustries/fe258c19-7d26-44df-bddf-9c9d0264f102/application?embed=true,
A,3313,Unlimited,Hardware Engineer - Multiple Teams,SF,2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://jobs.ashbyhq.com/unlimitedindustries/f9a8d2e3-79a8-464b-9e1d-77aa649c38bd/application?embed=true,
A,3311,Textron,Software Engineer 1 - Weapons,"Wilmington, MA",2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://textron.taleo.net/careersection/textron/jobdetail.ftl?job=344818,
A,3306,Johns Hopkins Applied Physics Laboratory,Applied Algorithms Engineer New Grad,"Laurel, MD",2026-09-02,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59902?icims=1,
A,3829,Fin,Sales Data Analyst,SF,2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://job-boards.greenhouse.io/intercom/jobs/8146103,
A,3348,Amazon,Robotics System Development Engineer,"Austin, TX",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://amazon.jobs/en/jobs/10523031/robotics-system-development-engineer,
